pos;artist_name;playlist_index;artist_uri;album_uri;duration_ms_x;album_name;track_uri;track_name;Unnamed: 0;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo;type;id;track_href;analysis_url;duration_ms_y;time_signature;chunk_x;genero;chunk_y;Unnamed: 3;loudness_mW
0;Missy Elliott;1;spotify:artist:2wIVse2owClT7go1WT98tk;spotify:album:6vV5UrXcfyQD1wu4Qo2I9K;226863;The Cookbook;spotify:track:0UaMYEvWZi0ZqiDOoHU3YI;Lose Control (feat. Ciara & Fat Man Scoop);0;0.904;0.813;4;-7.105;0;0.121;0.0311;0.00697;0.0471;0.81;125.461;audio_features;0UaMYEvWZi0ZqiDOoHU3YI;https://api.spotify.com/v1/tracks/0UaMYEvWZi0ZqiDOoHU3YI;https://api.spotify.com/v1/audio-analysis/0UaMYEvWZi0ZqiDOoHU3YI;226864;4;1;['dance pop', 'hip hop', 'hip pop', 'neo soul', 'pop rap', 'r&b', 'rap', 'urban contemporary', 'virginia hip hop'];1.0;;0.19476010499424207
1;Britney Spears;1;spotify:artist:26dSoYclwsYLMAKD3tpOr4;spotify:album:0z7pVBGOD7HCIB7S8eLkLI;198800;In The Zone;spotify:track:6I9VzXrHxO9rA9A5euc8Ak;Toxic;1;0.774;0.838;5;-3.914;0;0.114;0.0249;0.025;0.242;0.924;143.04;audio_features;6I9VzXrHxO9rA9A5euc8Ak;https://api.spotify.com/v1/tracks/6I9VzXrHxO9rA9A5euc8Ak;https://api.spotify.com/v1/audio-analysis/6I9VzXrHxO9rA9A5euc8Ak;198800;4;1;['dance pop', 'pop'];1.0;;0.40606915336563454
2;Beyoncé;1;spotify:artist:6vWDO969PvNqNYHIOW5v0m;spotify:album:25hVFAxTlDvXbx2X2QkUkE;235933;Dangerously In Love (Alben für die Ewigkeit);spotify:track:0WqIKmW4BTrj3eJFmnCKMv;Crazy In Love;2;0.664;0.758;2;-6.583;0;0.21;0.00238;0.0;0.0598;0.701;99.259;audio_features;0WqIKmW4BTrj3eJFmnCKMv;https://api.spotify.com/v1/tracks/0WqIKmW4BTrj3eJFmnCKMv;https://api.spotify.com/v1/audio-analysis/0WqIKmW4BTrj3eJFmnCKMv;235933;4;1;['pop', 'r&b'];1.0;;0.2196342169227544
3;Justin Timberlake;1;spotify:artist:31TPClRtHm23RisEBtV3X7;spotify:album:6QPkyl04rXwTGlGlcYaRoW;267266;Justified;spotify:track:1AWQoqb9bSvzTjaLralEkT;Rock Your Body;3;0.892;0.714;4;-6.055;0;0.141;0.201;0.000234;0.0521;0.817;100.972;audio_features;1AWQoqb9bSvzTjaLralEkT;https://api.spotify.com/v1/tracks/1AWQoqb9bSvzTjaLralEkT;https://api.spotify.com/v1/audio-analysis/1AWQoqb9bSvzTjaLralEkT;267267;4;1;['dance pop', 'pop'];1.0;;0.24802759376929584
4;Shaggy;1;spotify:artist:5EvFsr3kj42KNv97ZEnqij;spotify:album:6NmFmPX56pcLBOFMhIiKvF;227600;Hot Shot;spotify:track:1lzr43nnXAijIGYnCT8M8H;It Wasn't Me;4;0.853;0.606;0;-4.596;1;0.0713;0.0561;0.0;0.313;0.654;94.759;audio_features;1lzr43nnXAijIGYnCT8M8H;https://api.spotify.com/v1/tracks/1lzr43nnXAijIGYnCT8M8H;https://api.spotify.com/v1/audio-analysis/1lzr43nnXAijIGYnCT8M8H;227600;4;1;['dance pop', 'pop rap', 'reggae fusion'];1.0;;0.34705635400798757
5;Usher;1;spotify:artist:23zg3TcAtWQy7J6upgbUnj;spotify:album:0vO0b1AvY49CPQyVisJLj0;250373;Confessions;spotify:track:0XUfyU2QviPAs6bxSpXYG4;Yeah!;5;0.881;0.788;2;-4.669;1;0.168;0.0212;0.0;0.0377;0.592;104.997;audio_features;0XUfyU2QviPAs6bxSpXYG4;https://api.spotify.com/v1/tracks/0XUfyU2QviPAs6bxSpXYG4;https://api.spotify.com/v1/audio-analysis/0XUfyU2QviPAs6bxSpXYG4;250373;4;1;['atl hip hop', 'contemporary r&b', 'dance pop', 'pop', 'r&b', 'rap', 'south carolina hip hop', 'urban contemporary'];1.0;;0.34127148323868667
5;Usher;1;spotify:artist:23zg3TcAtWQy7J6upgbUnj;spotify:album:0vO0b1AvY49CPQyVisJLj0;250373;Confessions;spotify:track:0XUfyU2QviPAs6bxSpXYG4;Yeah!;8;0.881;0.788;2;-4.669;1;0.168;0.0212;0.0;0.0377;0.592;104.997;audio_features;0XUfyU2QviPAs6bxSpXYG4;https://api.spotify.com/v1/tracks/0XUfyU2QviPAs6bxSpXYG4;https://api.spotify.com/v1/audio-analysis/0XUfyU2QviPAs6bxSpXYG4;250373;4;4;['atl hip hop', 'contemporary r&b', 'dance pop', 'pop', 'r&b', 'rap', 'south carolina hip hop', 'urban contemporary'];1.0;;0.34127148323868667
6;Usher;1;spotify:artist:23zg3TcAtWQy7J6upgbUnj;spotify:album:1RM6MGv6bcl6NrAG8PGoZk;223440;Confessions;spotify:track:68vgtRHr7iZHpzGpon6Jlo;My Boo;6;0.662;0.507;5;-8.238;1;0.118;0.257;0.0;0.0465;0.676;86.412;audio_features;68vgtRHr7iZHpzGpon6Jlo;https://api.spotify.com/v1/tracks/68vgtRHr7iZHpzGpon6Jlo;https://api.spotify.com/v1/audio-analysis/68vgtRHr7iZHpzGpon6Jlo;223440;4;1;['atl hip hop', 'contemporary r&b', 'dance pop', 'pop', 'r&b', 'rap', 'south carolina hip hop', 'urban contemporary'];1.0;;0.15003756249395947
7;The Pussycat Dolls;1;spotify:artist:6wPhSqRtPu1UhRCDX5yaDJ;spotify:album:5x8e8UcCeOgrOzSnDGuPye;225560;PCD;spotify:track:3BxWKCI06eQ5Od8TY2JBeA;Buttons;7;0.57;0.821;2;-4.38;1;0.267;0.178;0.0;0.289;0.408;210.857;audio_features;3BxWKCI06eQ5Od8TY2JBeA;https://api.spotify.com/v1/tracks/3BxWKCI06eQ5Od8TY2JBeA;https://api.spotify.com/v1/audio-analysis/3BxWKCI06eQ5Od8TY2JBeA;225560;4;1;['dance pop', 'girl group', 'pop'];1.0;;0.3647539469256078
8;Destiny's Child;1;spotify:artist:1Y8cdNmUJH7yBTd9yOvr5i;spotify:album:283NWqNsCA9GwVHrJk59CG;271333;The Writing's On The Wall;spotify:track:7H6ev70Weq6DdpZyyTmUXk;Say My Name;8;0.713;0.678;5;-3.525;0;0.102;0.273;0.0;0.149;0.734;138.009;audio_features;7H6ev70Weq6DdpZyyTmUXk;https://api.spotify.com/v1/tracks/7H6ev70Weq6DdpZyyTmUXk;https://api.spotify.com/v1/audio-analysis/7H6ev70Weq6DdpZyyTmUXk;271333;4;1;['dance pop', 'girl group', 'pop', 'r&b', 'urban contemporary'];1.0;;0.44411966136558895
